"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"5","秋田県","5201","秋田市","52010265007","茨島七丁目","39.688979","140.102042","0","3"
"5","秋田県","5201","秋田市","52010266001","東通一丁目","39.716047","140.135858","0","3"
"5","秋田県","5201","秋田市","52010266002","東通二丁目","39.716223","140.139514","0","3"
"5","秋田県","5201","秋田市","52010266003","東通三丁目","39.716078","140.142167","0","3"
"5","秋田県","5201","秋田市","52010266004","東通四丁目","39.713663","140.142362","0","3"
"5","秋田県","5201","秋田市","52010266005","東通五丁目","39.713529","140.139655","0","3"
"5","秋田県","5201","秋田市","52010266006","東通六丁目","39.71335","140.135934","0","3"
"5","秋田県","5201","秋田市","52010266007","東通七丁目","39.711786","140.136059","0","3"
"5","秋田県","5201","秋田市","52010266008","東通八丁目","39.711976","140.140717","0","3"
"5","秋田県","5201","秋田市","52010267000","東通観音前","39.710665","140.13251","0","1"
"5","秋田県","5201","秋田市","52010268000","東通館ノ越","39.708371","140.130914","0","1"
"5","秋田県","5201","秋田市","52010269000","東通仲町","39.715752","140.132055","0","1"
"5","秋田県","5201","秋田市","52010270000","東通明田","39.707574","140.133645","0","1"
"5","秋田県","5201","秋田市","52010271000","広面","39.721497","140.148252","0","1"
"5","秋田県","5201","秋田市","52010272000","蛇野","39.724525","140.138693","0","1"
"5","秋田県","5201","秋田市","52010273000","保戸野金砂町","39.730674","140.123413","0","1"
"5","秋田県","5201","秋田市","52010274000","保戸野桜町","39.732726","140.119337","0","1"
"5","秋田県","5201","秋田市","52010275000","保戸野すわ町","39.72376","140.114908","0","1"
"5","秋田県","5201","秋田市","52010276000","保戸野千代田町","39.726759","140.109351","0","1"
"5","秋田県","5201","秋田市","52010277000","保戸野鉄砲町","39.723416","140.110858","0","1"
"5","秋田県","5201","秋田市","52010278000","保戸野通町","39.721331","140.116626","0","1"
"5","秋田県","5201","秋田市","52010279000","保戸野中町","39.723982","140.118573","0","1"
"5","秋田県","5201","秋田市","52010280000","保戸野八丁","39.729806","140.119643","0","1"
